rank,mapper_name,total_gds,last_gd_date
1,Castiello,14,2025-12-19T17:29:16Z
2,AsuKow,11,2025-11-07T16:41:34Z
3,Amats,9,2025-11-15T19:48:13Z
4,Omekyu,6,2025-11-15T19:48:14Z
5,Xahlt,6,2025-01-18T19:51:28Z
6,-Askel-,5,2025-12-19T17:29:16Z
7,Kuki1537,4,2025-12-19T17:29:13Z
8,Log Off Now,4,2025-12-19T17:29:17Z
9,PikAqours,4,2025-12-19T17:29:14Z
10,Sotarks,4,2025-12-19T17:29:15Z
11,- Nilou -,3,2025-12-19T17:29:14Z
12,16-bit Princess,3,2024-10-31T21:38:35Z
13,My Angel Ram,2,2025-12-19T17:29:14Z
14,Nymphe,2,2025-12-19T17:29:20Z
15,Zekao,2,2024-10-13T13:40:34Z
16,6th,1,2024-08-04T13:04:21Z
17,AMieur,1,2025-12-19T17:29:12Z
18,Andrea,1,2025-12-19T17:29:13Z
19,BirbSMB,1,2023-08-02T14:00:35Z
20,Fatfan Kolek,1,2025-01-18T19:51:28Z
21,Hayakou,1,2025-02-10T19:58:52Z
22,Hirosheap,1,2025-06-24T18:52:30Z
23,Hyokar,1,2024-02-11T19:15:19Z
24,ItzShadowCraft,1,2025-12-19T17:29:19Z
25,Kuroise,1,2024-01-14T12:05:08Z
26,Laurier,1,2025-10-04T08:54:05Z
27,Laydau,1,2025-01-18T19:51:29Z
28,Leeroy Jenkins,1,2023-08-02T14:00:31Z
29,Leomine,1,2025-10-04T08:54:04Z
30,Lyvai,1,2024-10-13T13:40:32Z
31,Mita,1,2025-01-18T19:51:26Z
32,Swa,1,2024-08-04T13:04:22Z
33,Synaelle,1,2023-11-10T22:24:00Z
34,Take,1,2023-11-10T22:23:59Z
35,[Yoshino],1,2023-11-10T22:23:59Z
36,amongusrtx30080,1,2023-08-02T14:00:32Z
37,catwords,1,2023-08-02T14:00:33Z
38,deglegneg,1,2023-08-02T14:00:34Z
39,espii,1,2023-08-02T14:00:35Z
40,fieryrage,1,2025-01-18T19:51:32Z
41,gay nerd,1,2025-11-15T19:48:15Z
42,kimi321,1,2023-08-02T14:00:34Z
43,kowari,1,2025-01-18T19:51:32Z
44,minercraftal,1,2022-08-28T16:24:31Z
45,sytho,1,2025-01-18T19:51:31Z
